Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Chriss James Alexander,"EVP, SBSEG",2021-11-01,Option Exercise,0.0,576,0,"1,355",Nov 03 07:14 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-10-01,Option Exercise,0.0,"1,096",0,"17,785",Oct 04 06:54 PM
SMITH BRAD D,Executive Chairman,2021-10-01,Option Exercise,0.0,"2,836",0,"408,530",Oct 04 06:50 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-10-01,Option Exercise,0.0,665,0,"9,452",Oct 04 06:40 PM
Goodarzi Sasan K,"CEO, President & Director",2021-10-01,Option Exercise,0.0,"1,725",0,"114,514",Oct 04 06:35 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-10-01,Option Exercise,0.0,405,0,405,Oct 04 06:33 PM
Clatterbuck Michelle M,EVP and CFO,2021-10-01,Option Exercise,0.0,"1,232",0,"1,778",Oct 04 06:28 PM
Chriss James Alexander,"EVP, SBSEG",2021-10-01,Option Exercise,0.0,952,0,"1,252",Oct 04 06:25 PM
Johnson Gregory N,"EVP, Consumer Group",2021-10-01,Option Exercise,0.0,"1,349",0,"10,749",Oct 04 07:46 PM
FENNELL LAURA A,"EVP, People and Places",2021-10-01,Option Exercise,0.0,"1,206",0,"60,176",Oct 04 07:45 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-09-29,Sale,551.33,389,"214,467",0,Sep 30 12:28 PM
Chriss James Alexander,"EVP, SBSEG",2021-09-02,Sale,562.53,"2,022","1,137,438",300,Sep 02 06:33 PM
Clatterbuck Michelle M,EVP and CFO,2021-09-02,Sale,562.56,"9,343","5,256,012",546,Sep 02 08:51 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-09-01,Option Exercise,0.0,"4,631",0,"18,986",Sep 02 09:12 PM
SMITH BRAD D,Executive Chairman,2021-09-01,Option Exercise,0.0,"83,899",0,"444,965",Sep 02 09:07 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-09-01,Option Exercise,0.0,"8,924",0,"13,069",Sep 02 09:06 PM
Johnson Gregory N,"EVP, Consumer Group",2021-09-01,Option Exercise,0.0,"15,443",0,"17,059",Sep 02 09:04 PM
Goodarzi Sasan K,"CEO, President & Board member",2021-09-01,Option Exercise,0.0,"33,979",0,"129,637",Sep 02 09:02 PM
FENNELL LAURA A,"EVP, People and Places",2021-09-01,Option Exercise,0.0,"17,832",0,"67,527",Sep 02 08:55 PM
Clatterbuck Michelle M,EVP and CFO,2021-09-01,Option Exercise,0.0,"18,533",0,"19,079",Sep 02 08:51 PM
Chriss James Alexander,"EVP, SBSEG",2021-09-01,Option Exercise,0.0,"4,014",0,"4,314",Sep 02 06:33 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-31,Option Exercise,259.87,"31,487","8,182,417","31,787",Sep 02 06:33 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-31,Sale,564.57,"31,487","17,776,562",300,Sep 02 06:33 PM
Chriss James Alexander,"EVP,  SBSEG",2021-08-27,Sale,554.61,"1,220","676,624",300,Aug 30 02:59 PM
Johnson Gregory N,"EVP, Consumer Group",2021-08-26,Option Exercise,107.25,"6,955","745,924","16,459",Aug 30 03:08 PM
