Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Borges Daniel,SVP & Chief Accounting Officer,2022-02-25,Sale,46.52,"2,470","114,904",0,Mar 01 07:41 PM
Meaney William L,President and CEO,2022-02-25,Sale,48.05,"58,024","2,788,343","277,311",Mar 01 07:37 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-02-25,Sale,46.52,500,"23,260","50,635",Feb 28 09:20 PM
Meaney William L,President and CEO,2022-02-24,Option Exercise,0.0,"151,545",0,"402,545",Feb 28 09:22 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-02-24,Option Exercise,0.0,"11,939",0,"54,639",Feb 28 09:20 PM
Kidd Mark,"EVP, GM Data Centers",2022-02-24,Option Exercise,0.0,"14,695",0,"38,481",Feb 28 09:19 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-02-24,Option Exercise,0.0,"15,612",0,"77,571",Feb 28 09:18 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-02-24,Option Exercise,0.0,"1,334",0,"1,988",Feb 28 09:16 PM
Tomovcsik John,"EVP, Chief Operating Officer",2022-02-24,Option Exercise,0.0,"15,612",0,"61,146",Feb 28 09:15 PM
Kidd Mark,"EVP, GM Data Centers",2022-02-22,Option Exercise,0.0,"6,456",0,"24,779",Feb 24 06:54 PM
Evens Deirdre,"EVP & GM, Asset Lifestyle Mgmt",2022-02-22,Option Exercise,0.0,"6,818",0,"62,657",Feb 24 06:49 PM
Borges Daniel,SVP & Chief Accounting Officer,2022-02-22,Option Exercise,0.0,999,0,815,Feb 24 06:47 PM
Hytinen Barry,EVP and CFO,2022-02-22,Option Exercise,0.0,"7,544",0,"41,377",Feb 24 06:45 PM
Tomovcsik John,"EVP, Chief Operating Officer",2022-02-22,Option Exercise,0.0,"6,818",0,"46,188",Feb 24 07:05 PM
Meaney William L,President and CEO,2022-02-22,Option Exercise,0.0,"48,614",0,"260,700",Feb 24 07:00 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-02-22,Option Exercise,0.0,"5,148",0,"43,191",Feb 24 06:56 PM
McIntosh Greg W,"EVP, GM, Global RM",2022-02-22,Option Exercise,0.0,"1,775",0,"7,617",Feb 24 06:58 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2022-01-12,Sale,46.38,500,"23,190","38,941",Jan 13 09:46 PM
