Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-29,Buy,31.74,"4,378","138,949","28,362",Aug 29 05:15 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-26,Buy,4.70,"63,577","299,053","4,785,840",Aug 30 09:08 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-26,Buy,31.56,"4,419","139,466","23,984",Aug 29 05:15 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-25,Buy,4.71,"82,067","386,527","4,722,263",Aug 26 09:19 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-25,Buy,31.95,"4,219","134,810","19,565",Aug 26 12:45 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-24,Buy,4.70,"74,710","351,025","4,640,196",Aug 26 09:19 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-24,Buy,31.62,"2,187","69,143","15,346",Aug 26 12:45 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-23,Buy,4.62,"74,898","345,849","4,565,486",Aug 24 08:55 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-23,Buy,31.18,"4,200","130,936","13,159",Aug 24 01:35 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-22,Buy,4.60,"71,931","330,681","4,490,588",Aug 24 08:55 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-22,Buy,30.70,"4,328","132,883","8,959",Aug 24 01:35 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-19,Buy,4.64,"82,931","385,107","4,418,657",Aug 22 08:53 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-18,Buy,4.72,"83,345","393,622","4,335,726",Aug 22 08:53 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-17,Buy,4.76,"82,516","392,850","4,252,381",Aug 18 09:00 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-16,Buy,4.79,"49,355","236,445","4,169,865",Aug 18 09:00 AM
JOHNSON JENNIFER M,President and CEO,2022-08-16,Sale,28.75,"55,201","1,587,211","1,870,068",Aug 18 12:40 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-15,Buy,4.80,"60,084","288,373","4,120,510",Aug 16 09:26 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-12,Buy,4.81,"23,986","115,260","4,060,426",Aug 16 09:26 AM
Plafker Jed A.,Executive Vice President,2022-08-12,Sale,29.02,"19,166","556,188","129,101",Aug 15 11:22 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-11,Buy,4.84,"128,398","622,050","4,036,440",Aug 12 09:20 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-10,Buy,4.81,"89,536","430,955","3,908,042",Aug 12 09:20 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-09,Buy,4.74,"72,557","343,630","3,818,506",Aug 10 06:15 PM
